"view_history","rt","trial_type_label","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","response","item","condition","word","word_index","word_count","too_fast","too_slow","correct_answer","correct"
"","115","spr_word","html-keyboard-response","133","37441","0.0-248.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- ----- TBD ------- --- ---- ---------</p></div>"," ","1","generic_they","TBD","7","12","false","false","",""
"","81","spr_word","html-keyboard-response","134","37523","0.0-250.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- ----- --- stimuli --- ---- ---------</p></div>"," ","1","generic_they","stimuli","8","12","true","false","",""
"","117","spr_word","html-keyboard-response","135","37640","0.0-252.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- ----- --- ------- for ---- ---------</p></div>"," ","1","generic_they","for","9","12","false","false","",""
"","98","spr_word","html-keyboard-response","136","37738","0.0-254.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- ----- --- ------- --- this ---------</p></div>"," ","1","generic_they","this","10","12","true","false","",""
"","199","spr_word","html-keyboard-response","137","37937","0.0-256.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- ----- --- ------- --- ---- sentence.</p></div>"," ","1","generic_they","sentence.","11","12","false","false","",""
"","591","comprehension","html-button-response","138","38529","0.0-258.0","wn48bxk6","<div><p>This is a comprehension question!</p></div>","1","","","","","","","","No","true"
"","null","","html-keyboard-response","139","39032","0.0-259.0","wn48bxk6","<span class=""fixation"">+</span>","null","","","","","","","","",""
"","72","","html-keyboard-response","140","39105","0.0-260.0","wn48bxk6","<div class""instruction-text><p>Press spacebar to begin the sentence!</p></div>"," ","","","","","","","","",""
"","104","spr_word","html-keyboard-response","141","39210","0.0-261.0","wn48bxk6","<div class=""spr_word""><p>Only --- ---------- ----- --- --- ----- --- ------- --- ---- ---------</p></div>"," ","1","generic_him","Only","0","12","false","false","",""
"","244","spr_word","html-keyboard-response","142","39454","0.0-263.0","wn48bxk6","<div class=""spr_word""><p>---- one ---------- ----- --- --- ----- --- ------- --- ---- ---------</p></div>"," ","1","generic_him","one","1","12","false","false","",""
"","122","spr_word","html-keyboard-response","143","39577","0.0-265.0","wn48bxk6","<div class=""spr_word""><p>---- --- competitor ----- --- --- ----- --- ------- --- ---- ---------</p></div>"," ","1","generic_him","competitor","2","12","false","false","",""
"","116","spr_word","html-keyboard-response","144","39693","0.0-267.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- could --- --- ----- --- ------- --- ---- ---------</p></div>"," ","1","generic_him","could","3","12","false","false","",""
"","109","spr_word","html-keyboard-response","145","39802","0.0-269.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- win --- ----- --- ------- --- ---- ---------</p></div>"," ","1","generic_him","win","4","12","false","false","",""
"","112","spr_word","html-keyboard-response","146","39915","0.0-271.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- the ----- --- ------- --- ---- ---------</p></div>"," ","1","generic_him","the","5","12","false","false","",""
"","108","spr_word","html-keyboard-response","147","40023","0.0-273.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- race. --- ------- --- ---- ---------</p></div>"," ","1","generic_him","race.","6","12","false","false","",""
"","104","spr_word","html-keyboard-response","148","40128","0.0-275.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- ----- TBD ------- --- ---- ---------</p></div>"," ","1","generic_him","TBD","7","12","false","false","",""
"","103","spr_word","html-keyboard-response","149","40231","0.0-277.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- ----- --- stimuli --- ---- ---------</p></div>"," ","1","generic_him","stimuli","8","12","false","false","",""
"","110","spr_word","html-keyboard-response","150","40341","0.0-279.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- ----- --- ------- for ---- ---------</p></div>"," ","1","generic_him","for","9","12","false","false","",""
"","115","spr_word","html-keyboard-response","151","40456","0.0-281.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- ----- --- ------- --- this ---------</p></div>"," ","1","generic_him","this","10","12","false","false","",""
"","94","spr_word","html-keyboard-response","152","40550","0.0-283.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- --- --- ----- --- ------- --- ---- sentence.</p></div>"," ","1","generic_him","sentence.","11","12","true","false","",""
"","631","comprehension","html-button-response","153","41182","0.0-285.0","wn48bxk6","<div><p>This is a comprehension question!</p></div>","1","","","","","","","","No","true"
"","null","","html-keyboard-response","154","41684","0.0-286.0","wn48bxk6","<span class=""fixation"">+</span>","null","","","","","","","","",""
"","26","","html-keyboard-response","155","41711","0.0-287.0","wn48bxk6","<div class""instruction-text><p>Press spacebar to begin the sentence!</p></div>"," ","","","","","","","","",""
"","119","spr_word","html-keyboard-response","156","41831","0.0-288.0","wn48bxk6","<div class=""spr_word""><p>Just --- ---------- ----- ------- --- -------- --- -------- ---------- ----- ---- --- --- --- ----- ------- --- ------- ----- -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","Just","0","28","false","false","",""
"","115","spr_word","html-keyboard-response","157","41946","0.0-290.0","wn48bxk6","<div class=""spr_word""><p>---- one ---------- ----- ------- --- -------- --- -------- ---------- ----- ---- --- --- --- ----- ------- --- ------- ----- -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","one","1","28","false","false","",""
"","236","spr_word","html-keyboard-response","158","42182","0.0-292.0","wn48bxk6","<div class=""spr_word""><p>---- --- grandchild ----- ------- --- -------- --- -------- ---------- ----- ---- --- --- --- ----- ------- --- ------- ----- -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","grandchild","2","28","false","false","",""
"","108","spr_word","html-keyboard-response","159","42291","0.0-294.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- could ------- --- -------- --- -------- ---------- ----- ---- --- --- --- ----- ------- --- ------- ----- -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","could","3","28","false","false","",""
"","119","spr_word","html-keyboard-response","160","42411","0.0-296.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- inherit --- -------- --- -------- ---------- ----- ---- --- --- --- ----- ------- --- ------- ----- -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","inherit","4","28","false","false","",""
"","238","spr_word","html-keyboard-response","161","42648","0.0-298.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- the -------- --- -------- ---------- ----- ---- --- --- --- ----- ------- --- ------- ----- -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","the","5","28","false","false","",""
"","234","spr_word","html-keyboard-response","162","42883","0.0-300.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- jewelry. --- -------- ---------- ----- ---- --- --- --- ----- ------- --- ------- ----- -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","jewelry.","6","28","false","false","",""
"","120","spr_word","html-keyboard-response","163","43003","0.0-302.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- The -------- ---------- ----- ---- --- --- --- ----- ------- --- ------- ----- -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","The","7","28","false","false","",""
"","144","spr_word","html-keyboard-response","164","43148","0.0-304.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- youngest ---------- ----- ---- --- --- --- ----- ------- --- ------- ----- -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","youngest","8","28","false","false","",""
"","107","spr_word","html-keyboard-response","165","43255","0.0-306.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- -------- grandchild ----- ---- --- --- --- ----- ------- --- ------- ----- -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","grandchild","9","28","false","false","",""
"","143","spr_word","html-keyboard-response","166","43398","0.0-308.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- -------- ---------- hoped ---- --- --- --- ----- ------- --- ------- ----- -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","hoped","10","28","false","false","",""
"","108","spr_word","html-keyboard-response","167","43507","0.0-310.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- -------- ---------- ----- that --- --- --- ----- ------- --- ------- ----- -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","that","11","28","false","false","",""
"","141","spr_word","html-keyboard-response","168","43649","0.0-312.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- -------- ---------- ----- ---- the --- --- ----- ------- --- ------- ----- -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","the","12","28","false","false","",""
"","114","spr_word","html-keyboard-response","169","43763","0.0-314.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- -------- ---------- ----- ---- --- one --- ----- ------- --- ------- ----- -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","one","13","28","false","false","",""
"","126","spr_word","html-keyboard-response","170","43889","0.0-316.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- -------- ---------- ----- ---- --- --- who ----- ------- --- ------- ----- -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","who","14","28","false","false","",""
"","96","spr_word","html-keyboard-response","171","43985","0.0-318.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- -------- ---------- ----- ---- --- --- --- would ------- --- ------- ----- -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","would","15","28","true","false","",""
"","147","spr_word","html-keyboard-response","172","44132","0.0-320.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- -------- ---------- ----- ---- --- --- --- ----- inherit --- ------- ----- -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","inherit","16","28","false","false","",""
"","114","spr_word","html-keyboard-response","173","44246","0.0-322.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- -------- ---------- ----- ---- --- --- --- ----- ------- the ------- ----- -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","the","17","28","false","false","",""
"","138","spr_word","html-keyboard-response","174","44385","0.0-324.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- -------- ---------- ----- ---- --- --- --- ----- ------- --- jewelry ----- -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","jewelry","18","28","false","false","",""
"","108","spr_word","html-keyboard-response","175","44494","0.0-326.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- -------- ---------- ----- ---- --- --- --- ----- ------- --- ------- would -- --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","would","19","28","false","false","",""
"","134","spr_word","html-keyboard-response","176","44628","0.0-328.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- -------- ---------- ----- ---- --- --- --- ----- ------- --- ------- ----- be --- ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","be","20","28","false","false","",""
"","124","spr_word","html-keyboard-response","177","44752","0.0-330.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- -------- ---------- ----- ---- --- --- --- ----- ------- --- ------- ----- -- him ---- --- ---- --- ------- ----------</p></div>"," ","1","specific_him","him","21","28","false","false","",""
"","99","spr_word","html-keyboard-response","178","44852","0.0-332.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- -------- ---------- ----- ---- --- --- --- ----- ------- --- ------- ----- -- --- when --- ---- --- ------- ----------</p></div>"," ","1","specific_him","when","22","28","true","false","",""
"","238","spr_word","html-keyboard-response","179","45091","0.0-334.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- -------- ---------- ----- ---- --- --- --- ----- ------- --- ------- ----- -- --- ---- the ---- --- ------- ----------</p></div>"," ","1","specific_him","the","23","28","false","false","",""
"","226","spr_word","html-keyboard-response","180","45317","0.0-336.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- -------- ---------- ----- ---- --- --- --- ----- ------- --- ------- ----- -- --- ---- --- will --- ------- ----------</p></div>"," ","1","specific_him","will","24","28","false","false","",""
"","238","spr_word","html-keyboard-response","181","45556","0.0-338.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- -------- ---------- ----- ---- --- --- --- ----- ------- --- ------- ----- -- --- ---- --- ---- was ------- ----------</p></div>"," ","1","specific_him","was","25","28","false","false","",""
"","115","spr_word","html-keyboard-response","182","45671","0.0-340.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- -------- ---------- ----- ---- --- --- --- ----- ------- --- ------- ----- -- --- ---- --- ---- --- finally ----------</p></div>"," ","1","specific_him","finally","26","28","false","false","",""
"","131","spr_word","html-keyboard-response","183","45802","0.0-342.0","wn48bxk6","<div class=""spr_word""><p>---- --- ---------- ----- ------- --- -------- --- -------- ---------- ----- ---- --- --- --- ----- ------- --- ------- ----- -- --- ---- --- ---- --- ------- announced.</p></div>"," ","1","specific_him","announced.","27","28","false","false","",""
"","857","comprehension","html-button-response","184","46660","0.0-344.0","wn48bxk6","<div><p>This is a comprehension question!</p></div>","1","","","","","","","","No","true"
